transaction_id,date,time,sku,category,channel,store_id,quantity,base_price,discount,total_price,promotion
TXN-804314,1/2/2024,23:41:23,BOOK-5061,BOOK,Store,Store 4,5,32.89,0,164.45,FALSE
TXN-804314,1/2/2024,23:41:23,TECH-6539,TECH,Store,Store 4,5,762.12,0,3810.6,FALSE
TXN-804314,1/2/2024,23:41:23,BOOK-4770,BOOK,Store,Store 4,2,32.27,0.05,61.32,TRUE
TXN-804314,1/2/2024,23:41:23,HOME-2163,HOME,Store,Store 4,2,203.75,0.05,387.12,TRUE
TXN-340062,1/6/2024,15:04:57,KIDS-1514,KIDS,Online,Online,1,111.32,0.15,94.62,TRUE
TXN-639131,1/10/2024,19:15:17,HOME-8953,HOME,Online,Online,4,177.84,0,711.36,FALSE
TXN-238739,1/26/2024,17:46:59,KIDS-8744,KIDS,Online,Online,4,95.25,0,381,FALSE
TXN-238739,1/26/2024,17:46:59,HOME-8749,HOME,Online,Online,3,166.4,0.2,399.36,TRUE
TXN-238739,1/26/2024,17:46:59,TECH-2545,TECH,Online,Online,2,1332.49,0,2664.98,FALSE
TXN-238739,1/26/2024,17:46:59,TECH-8062,TECH,Online,Online,3,452.47,0,1357.41,FALSE
TXN-531071,1/9/2024,22:29:55,TECH-2612,TECH,Store,Store 1,3,1064.92,0,3194.76,FALSE
TXN-531071,1/9/2024,22:29:55,KIDS-6559,KIDS,Store,Store 1,2,61.98,0.15,105.36,TRUE
TXN-531071,1/9/2024,22:29:55,TECH-5073,TECH,Store,Store 1,4,1192.85,0,4771.4,FALSE
TXN-531071,1/9/2024,22:29:55,TECH-9786,TECH,Store,Store 1,1,1126.2,0,1126.2,FALSE
TXN-531071,1/9/2024,22:29:55,KIDS-7912,KIDS,Store,Store 1,2,51.17,0,102.34,FALSE
TXN-585100,1/7/2024,21:15:55,HOME-2235,HOME,Online,Online,5,202.93,0,1014.65,FALSE
TXN-585100,1/7/2024,21:15:55,TECH-2604,TECH,Online,Online,3,1209.42,0,3628.26,FALSE
TXN-585100,1/7/2024,21:15:55,TECH-9856,TECH,Online,Online,5,412.99,0.15,1755.2,TRUE
TXN-585100,1/7/2024,21:15:55,TECH-4872,TECH,Online,Online,2,1216.04,0,2432.08,FALSE
TXN-585100,1/7/2024,21:15:55,BOOK-8956,BOOK,Online,Online,5,25.94,0,129.7,FALSE
TXN-520521,1/20/2024,2:57:03,KIDS-7209,KIDS,Store,Store 2,1,90.12,0,90.12,FALSE
TXN-520521,1/20/2024,2:57:03,HOME-7396,HOME,Store,Store 2,2,56.63,0,113.26,FALSE
TXN-922157,1/29/2024,16:50:29,TECH-7930,TECH,Store,Store 3,5,954.74,0.1,4296.35,TRUE
TXN-922157,1/29/2024,16:50:29,KIDS-3536,KIDS,Store,Store 3,2,46.87,0,93.74,FALSE
TXN-922157,1/29/2024,16:50:29,TECH-4566,TECH,Store,Store 3,2,346.76,0.15,589.5,TRUE
TXN-922157,1/29/2024,16:50:29,TECH-6138,TECH,Store,Store 3,5,1313.85,0,6569.25,FALSE
TXN-712554,1/9/2024,15:30:32,HOME-9701,HOME,Online,Online,5,59.8,0,299,FALSE
TXN-712554,1/9/2024,15:30:32,KIDS-9320,KIDS,Online,Online,4,43.07,0,172.28,FALSE
TXN-294851,1/26/2024,23:04:38,TECH-4853,TECH,Store,Store 1,5,586.32,0,2931.6,FALSE
TXN-294851,1/26/2024,23:04:38,HOME-5033,HOME,Store,Store 1,1,144.43,0.05,137.21,TRUE
TXN-749468,1/16/2024,12:05:26,BOOK-5272,BOOK,Store,Store 3,4,48.34,0,193.36,FALSE
TXN-749468,1/16/2024,12:05:26,BOOK-6147,BOOK,Store,Store 3,4,32.94,0,131.76,FALSE
TXN-749468,1/16/2024,12:05:26,BOOK-7484,BOOK,Store,Store 3,3,34.1,0,102.3,FALSE
TXN-776856,1/24/2024,19:19:29,KIDS-6180,KIDS,Online,Online,2,27.48,0.15,46.72,TRUE
TXN-776856,1/24/2024,19:19:29,BOOK-1152,BOOK,Online,Online,5,24.04,0,120.2,FALSE
TXN-776856,1/24/2024,19:19:29,HOME-2638,HOME,Online,Online,4,266.72,0,1066.88,FALSE
TXN-776856,1/24/2024,19:19:29,BOOK-4492,BOOK,Online,Online,2,25.87,0.05,49.16,TRUE
TXN-776856,1/24/2024,19:19:29,TECH-6718,TECH,Online,Online,5,401.81,0.2,1607.25,TRUE
TXN-487477,1/13/2024,11:18:10,BOOK-8179,BOOK,Online,Online,4,25.05,0.25,75.16,TRUE
TXN-741390,1/25/2024,16:51:41,BOOK-5905,BOOK,Store,Store 1,3,20.15,0.15,51.39,TRUE
TXN-741390,1/25/2024,16:51:41,BOOK-3200,BOOK,Store,Store 1,4,14.75,0,59,FALSE
TXN-212235,1/21/2024,18:47:35,BOOK-5462,BOOK,Store,Store 2,1,13.32,0,13.32,FALSE
TXN-320861,1/26/2024,22:45:21,TECH-5325,TECH,Store,Store 2,5,1491.56,0.1,6712,TRUE
TXN-320861,1/26/2024,22:45:21,HOME-1832,HOME,Store,Store 2,1,180.77,0,180.77,FALSE
TXN-320861,1/26/2024,22:45:21,HOME-7939,HOME,Store,Store 2,1,206.89,0.15,175.86,TRUE
TXN-320861,1/26/2024,22:45:21,KIDS-1058,KIDS,Store,Store 2,1,138.98,0,138.98,FALSE
TXN-320861,1/26/2024,22:45:21,TECH-3143,TECH,Store,Store 2,4,428.11,0.1,1541.2,TRUE
TXN-269430,1/7/2024,14:47:28,TECH-1158,TECH,Store,Store 4,5,1469.27,0,7346.35,FALSE
TXN-269430,1/7/2024,14:47:28,TECH-3442,TECH,Store,Store 4,1,671.43,0.1,604.29,TRUE
TXN-710805,1/21/2024,6:35:09,KIDS-8041,KIDS,Online,Online,3,114.34,0,343.02,FALSE
TXN-710805,1/21/2024,6:35:09,BOOK-6050,BOOK,Online,Online,2,32.06,0,64.12,FALSE
TXN-710805,1/21/2024,6:35:09,BOOK-1653,BOOK,Online,Online,1,29.21,0.2,23.37,TRUE
TXN-710805,1/21/2024,6:35:09,BOOK-5088,BOOK,Online,Online,2,25.24,0.1,45.44,TRUE
TXN-710805,1/21/2024,6:35:09,KIDS-7658,KIDS,Online,Online,5,28.26,0.2,113.05,TRUE
TXN-348237,1/6/2024,0:55:10,KIDS-7755,KIDS,Store,Store 2,5,149.56,0,747.8,FALSE
TXN-348237,1/6/2024,0:55:10,HOME-6442,HOME,Store,Store 2,5,239.27,0.1,1076.7,TRUE
TXN-348237,1/6/2024,0:55:10,TECH-5065,TECH,Store,Store 2,1,454.99,0,454.99,FALSE
TXN-348237,1/6/2024,0:55:10,HOME-2771,HOME,Store,Store 2,1,217.93,0,217.93,FALSE
TXN-140605,1/12/2024,5:54:30,BOOK-4644,BOOK,Online,Online,3,30.81,0,92.43,FALSE
TXN-140605,1/12/2024,5:54:30,BOOK-8541,BOOK,Online,Online,5,13.54,0,67.7,FALSE
TXN-960394,1/20/2024,14:50:55,HOME-4652,HOME,Store,Store 2,2,251.26,0,502.52,FALSE
TXN-960394,1/20/2024,14:50:55,HOME-4164,HOME,Store,Store 2,2,137.65,0,275.3,FALSE
TXN-960394,1/20/2024,14:50:55,BOOK-5564,BOOK,Store,Store 2,3,13.64,0.25,30.69,TRUE
TXN-960394,1/20/2024,14:50:55,BOOK-6753,BOOK,Store,Store 2,4,21.92,0.1,78.92,TRUE
TXN-960394,1/20/2024,14:50:55,HOME-9785,HOME,Store,Store 2,5,86.77,0,433.85,FALSE
TXN-128941,1/16/2024,8:07:56,HOME-3925,HOME,Store,Store 3,2,132.19,0.1,237.94,TRUE
TXN-128941,1/16/2024,8:07:56,TECH-1626,TECH,Store,Store 3,3,944.72,0,2834.16,FALSE
TXN-555673,1/6/2024,17:22:46,KIDS-8149,KIDS,Store,Store 3,3,86.98,0.05,247.89,TRUE
TXN-503906,1/20/2024,7:57:36,TECH-4114,TECH,Online,Online,5,338.17,0,1690.85,FALSE
TXN-503906,1/20/2024,7:57:36,BOOK-8144,BOOK,Online,Online,4,18.25,0,73,FALSE
TXN-945687,1/16/2024,18:34:43,BOOK-6967,BOOK,Store,Store 2,3,46.83,0,140.49,FALSE
TXN-796503,1/9/2024,19:58:21,KIDS-6143,KIDS,Online,Online,2,118.79,0.05,225.7,TRUE
TXN-796503,1/9/2024,19:58:21,HOME-5920,HOME,Online,Online,2,59.17,0.1,106.5,TRUE
TXN-796503,1/9/2024,19:58:21,HOME-6344,HOME,Online,Online,3,183.03,0,549.09,FALSE
TXN-796503,1/9/2024,19:58:21,BOOK-5844,BOOK,Online,Online,3,19.7,0.05,56.13,TRUE
TXN-796503,1/9/2024,19:58:21,TECH-7888,TECH,Online,Online,1,1308.85,0.1,1177.96,TRUE
TXN-810219,1/17/2024,7:47:57,HOME-5930,HOME,Store,Store 2,3,212.21,0,636.63,FALSE
TXN-974224,1/17/2024,16:00:19,BOOK-5700,BOOK,Online,Online,2,21.35,0,42.7,FALSE
TXN-923927,1/21/2024,16:37:38,BOOK-8618,BOOK,Store,Store 3,1,19.49,0,19.49,FALSE
TXN-923927,1/21/2024,16:37:38,TECH-4501,TECH,Store,Store 3,4,1320.98,0.05,5019.72,TRUE
TXN-923927,1/21/2024,16:37:38,KIDS-2389,KIDS,Store,Store 3,1,30.43,0,30.43,FALSE
TXN-923927,1/21/2024,16:37:38,BOOK-6491,BOOK,Store,Store 3,4,49.89,0,199.56,FALSE
TXN-923927,1/21/2024,16:37:38,BOOK-4848,BOOK,Store,Store 3,3,44.62,0.05,127.17,TRUE
TXN-945742,1/9/2024,6:12:09,HOME-1400,HOME,Online,Online,3,192.9,0,578.7,FALSE
TXN-598216,1/25/2024,6:39:54,TECH-8461,TECH,Store,Store 1,4,590.89,0,2363.56,FALSE
TXN-598216,1/25/2024,6:39:54,HOME-4185,HOME,Store,Store 1,5,176.53,0.1,794.4,TRUE
TXN-598216,1/25/2024,6:39:54,TECH-9099,TECH,Store,Store 1,2,845.12,0,1690.24,FALSE
TXN-254739,1/18/2024,7:41:44,TECH-1090,TECH,Online,Online,5,303.25,0.15,1288.8,TRUE
TXN-254739,1/18/2024,7:41:44,HOME-7965,HOME,Online,Online,3,137.22,0,411.66,FALSE
TXN-254739,1/18/2024,7:41:44,KIDS-9486,KIDS,Online,Online,4,73.11,0,292.44,FALSE
TXN-254739,1/18/2024,7:41:44,KIDS-5082,KIDS,Online,Online,2,43.56,0.15,74.06,TRUE
TXN-578634,1/23/2024,16:08:51,HOME-8612,HOME,Online,Online,4,90.91,0.1,327.28,TRUE
TXN-578634,1/23/2024,16:08:51,KIDS-8251,KIDS,Online,Online,3,102.39,0.1,276.45,TRUE
TXN-578634,1/23/2024,16:08:51,BOOK-9976,BOOK,Online,Online,2,25.7,0,51.4,FALSE
TXN-266889,1/14/2024,11:47:55,HOME-8373,HOME,Store,Store 4,1,108.05,0,108.05,FALSE
TXN-359249,1/13/2024,16:53:40,BOOK-5543,BOOK,Online,Online,3,35.11,0.1,94.8,TRUE
TXN-359249,1/13/2024,16:53:40,HOME-4919,HOME,Online,Online,5,173.86,0,869.3,FALSE
TXN-359249,1/13/2024,16:53:40,KIDS-2269,KIDS,Online,Online,1,60.52,0.05,57.49,TRUE
TXN-384913,1/24/2024,1:21:20,BOOK-3267,BOOK,Store,Store 1,2,23.68,0,47.36,FALSE
TXN-384913,1/24/2024,1:21:20,TECH-7275,TECH,Store,Store 1,4,848.4,0.05,3223.92,TRUE
TXN-167348,1/16/2024,16:26:26,HOME-9890,HOME,Store,Store 3,2,53.05,0,106.1,FALSE
TXN-167348,1/16/2024,16:26:26,BOOK-2020,BOOK,Store,Store 3,2,20.07,0,40.14,FALSE
TXN-167348,1/16/2024,16:26:26,TECH-7883,TECH,Store,Store 3,2,711.03,0,1422.06,FALSE
TXN-167348,1/16/2024,16:26:26,BOOK-1320,BOOK,Store,Store 3,2,47.89,0.3,67.04,TRUE
TXN-600149,1/19/2024,15:00:22,BOOK-5892,BOOK,Online,Online,4,32.61,0.1,117.4,TRUE
TXN-600149,1/19/2024,15:00:22,KIDS-9818,KIDS,Online,Online,2,120.26,0.05,228.5,TRUE
TXN-600149,1/19/2024,15:00:22,TECH-8999,TECH,Online,Online,3,1183.73,0,3551.19,FALSE
TXN-600149,1/19/2024,15:00:22,KIDS-8140,KIDS,Online,Online,1,34.72,0,34.72,FALSE
TXN-507746,1/27/2024,5:21:42,BOOK-7624,BOOK,Online,Online,5,25.17,0.1,113.25,TRUE
TXN-507746,1/27/2024,5:21:42,TECH-3091,TECH,Online,Online,1,305.56,0.15,259.73,TRUE
TXN-507746,1/27/2024,5:21:42,BOOK-7455,BOOK,Online,Online,1,44.54,0.05,42.31,TRUE
TXN-188025,1/15/2024,14:41:27,TECH-3223,TECH,Online,Online,3,469.03,0.2,1125.66,TRUE
TXN-188025,1/15/2024,14:41:27,BOOK-1823,BOOK,Online,Online,5,46.59,0,232.95,FALSE
TXN-188025,1/15/2024,14:41:27,TECH-6363,TECH,Online,Online,2,1096.24,0,2192.48,FALSE
TXN-442722,1/30/2024,5:21:48,BOOK-5558,BOOK,Store,Store 4,1,21.98,0.1,19.78,TRUE
TXN-442722,1/30/2024,5:21:48,BOOK-5133,BOOK,Store,Store 4,3,18.4,0.3,38.64,TRUE
TXN-442722,1/30/2024,5:21:48,TECH-1317,TECH,Store,Store 4,5,1049.97,0.05,4987.35,TRUE
TXN-442722,1/30/2024,5:21:48,BOOK-6733,BOOK,Store,Store 4,1,41.02,0,41.02,FALSE
TXN-171951,1/17/2024,13:49:41,TECH-1508,TECH,Store,Store 1,1,701.24,0.2,560.99,TRUE
TXN-171951,1/17/2024,13:49:41,HOME-1333,HOME,Store,Store 1,2,117.69,0.05,223.62,TRUE
TXN-171951,1/17/2024,13:49:41,BOOK-3068,BOOK,Store,Store 1,4,43.59,0,174.36,FALSE
TXN-219946,1/13/2024,16:36:13,BOOK-5198,BOOK,Store,Store 4,1,42,0.05,39.9,TRUE
TXN-219946,1/13/2024,16:36:13,HOME-2876,HOME,Store,Store 4,2,251.33,0.05,477.52,TRUE
TXN-219946,1/13/2024,16:36:13,HOME-6096,HOME,Store,Store 4,3,290.66,0,871.98,FALSE
TXN-126925,1/7/2024,9:59:19,TECH-7149,TECH,Online,Online,5,331.84,0,1659.2,FALSE
TXN-126925,1/7/2024,9:59:19,HOME-4249,HOME,Online,Online,2,273.17,0,546.34,FALSE
TXN-824161,1/12/2024,8:53:40,KIDS-2669,KIDS,Store,Store 2,5,73.22,0.1,329.5,TRUE
TXN-824161,1/12/2024,8:53:40,BOOK-2983,BOOK,Store,Store 2,4,18.78,0.05,71.36,TRUE
TXN-824161,1/12/2024,8:53:40,HOME-6688,HOME,Store,Store 2,1,267.12,0.1,240.41,TRUE
TXN-824161,1/12/2024,8:53:40,KIDS-2129,KIDS,Store,Store 2,1,83.02,0.1,74.72,TRUE
TXN-113266,1/23/2024,18:54:26,TECH-2729,TECH,Store,Store 4,3,806.04,0,2418.12,FALSE
TXN-479781,1/28/2024,18:40:57,BOOK-8532,BOOK,Online,Online,2,33.06,0.1,59.5,TRUE
TXN-479781,1/28/2024,18:40:57,BOOK-3885,BOOK,Online,Online,2,38.81,0.1,69.86,TRUE
TXN-745830,1/6/2024,8:51:58,BOOK-8616,BOOK,Store,Store 4,4,35.32,0,141.28,FALSE
TXN-745830,1/6/2024,8:51:58,BOOK-5397,BOOK,Store,Store 4,1,26.75,0,26.75,FALSE
TXN-745830,1/6/2024,8:51:58,BOOK-5022,BOOK,Store,Store 4,2,16.65,0.15,28.3,TRUE
TXN-392477,1/4/2024,17:56:28,KIDS-8613,KIDS,Store,Store 2,3,66.24,0.1,178.86,TRUE
TXN-392477,1/4/2024,17:56:28,TECH-6511,TECH,Store,Store 2,3,1439.17,0,4317.51,FALSE
TXN-392477,1/4/2024,17:56:28,TECH-6325,TECH,Store,Store 2,1,623.89,0,623.89,FALSE
TXN-392477,1/4/2024,17:56:28,BOOK-4475,BOOK,Store,Store 2,3,43.86,0,131.58,FALSE
TXN-392477,1/4/2024,17:56:28,TECH-5232,TECH,Store,Store 2,1,1225.09,0,1225.09,FALSE
TXN-725113,1/12/2024,12:44:56,BOOK-5526,BOOK,Online,Online,3,42.76,0.05,121.86,TRUE
TXN-725113,1/12/2024,12:44:56,HOME-2402,HOME,Online,Online,2,75.77,0,151.54,FALSE
TXN-526170,1/26/2024,22:31:35,BOOK-4937,BOOK,Online,Online,4,31.68,0.1,114.04,TRUE
TXN-569945,1/23/2024,19:50:01,KIDS-2524,KIDS,Online,Online,4,48.76,0,195.04,FALSE
TXN-524045,1/29/2024,2:44:15,TECH-6016,TECH,Online,Online,5,867.85,0.1,3905.35,TRUE
TXN-596249,1/23/2024,7:35:33,KIDS-7971,KIDS,Store,Store 3,2,116.86,0.25,175.28,TRUE
TXN-596249,1/23/2024,7:35:33,BOOK-6764,BOOK,Store,Store 3,3,43.16,0.1,116.52,TRUE
TXN-596249,1/23/2024,7:35:33,BOOK-6023,BOOK,Store,Store 3,3,32.43,0,97.29,FALSE
TXN-226516,1/28/2024,15:46:12,BOOK-2958,BOOK,Store,Store 3,1,31.54,0.05,29.96,TRUE
TXN-226516,1/28/2024,15:46:12,BOOK-4138,BOOK,Store,Store 3,5,34.63,0,173.15,FALSE
TXN-226516,1/28/2024,15:46:12,TECH-8933,TECH,Store,Store 3,2,1488.41,0,2976.82,FALSE
TXN-226516,1/28/2024,15:46:12,BOOK-9595,BOOK,Store,Store 3,3,12.8,0.05,36.48,TRUE
TXN-973074,1/3/2024,4:12:18,HOME-6912,HOME,Store,Store 2,4,296.02,0,1184.08,FALSE
TXN-973074,1/3/2024,4:12:18,BOOK-1231,BOOK,Store,Store 2,4,39.5,0.05,150.08,TRUE
TXN-973074,1/3/2024,4:12:18,BOOK-5494,BOOK,Store,Store 2,2,21.85,0,43.7,FALSE
TXN-973074,1/3/2024,4:12:18,TECH-1893,TECH,Store,Store 2,5,1485.27,0.05,7055.05,TRUE
TXN-768854,1/13/2024,5:55:48,HOME-9042,HOME,Online,Online,3,197.14,0,591.42,FALSE
TXN-768854,1/13/2024,5:55:48,HOME-1200,HOME,Online,Online,5,297.3,0.1,1337.85,TRUE
TXN-768854,1/13/2024,5:55:48,TECH-8843,TECH,Online,Online,4,1305.39,0,5221.56,FALSE
TXN-768854,1/13/2024,5:55:48,KIDS-4020,KIDS,Online,Online,2,26.1,0.25,39.16,TRUE
TXN-768854,1/13/2024,5:55:48,TECH-8827,TECH,Online,Online,2,1235.5,0,2471,FALSE
TXN-168517,1/3/2024,22:25:31,BOOK-2213,BOOK,Online,Online,1,16.96,0.05,16.11,TRUE
TXN-168517,1/3/2024,22:25:31,HOME-3485,HOME,Online,Online,1,88.47,0,88.47,FALSE
TXN-168517,1/3/2024,22:25:31,TECH-5978,TECH,Online,Online,5,944.37,0,4721.85,FALSE
TXN-360247,1/19/2024,4:07:35,TECH-7818,TECH,Online,Online,5,1366.5,0.05,6490.85,TRUE
TXN-360247,1/19/2024,4:07:35,KIDS-9561,KIDS,Online,Online,1,62.78,0,62.78,FALSE
TXN-360247,1/19/2024,4:07:35,HOME-8253,HOME,Online,Online,2,152.11,0,304.22,FALSE
TXN-717113,1/22/2024,2:27:19,TECH-2625,TECH,Store,Store 1,5,1373.38,0.2,5493.5,TRUE
TXN-717113,1/22/2024,2:27:19,TECH-4457,TECH,Store,Store 1,5,876.7,0,4383.5,FALSE
TXN-717113,1/22/2024,2:27:19,BOOK-2330,BOOK,Store,Store 1,2,31.75,0,63.5,FALSE
TXN-717113,1/22/2024,2:27:19,KIDS-3847,KIDS,Store,Store 1,3,132.86,0.05,378.66,TRUE
TXN-717113,1/22/2024,2:27:19,TECH-1043,TECH,Store,Store 1,1,700.81,0,700.81,FALSE
TXN-822858,1/29/2024,4:38:30,TECH-5771,TECH,Online,Online,3,1453.58,0,4360.74,FALSE
TXN-822858,1/29/2024,4:38:30,TECH-5720,TECH,Online,Online,3,574.35,0.1,1550.76,TRUE
TXN-822858,1/29/2024,4:38:30,KIDS-2166,KIDS,Online,Online,5,85.97,0.1,386.85,TRUE
TXN-822858,1/29/2024,4:38:30,TECH-4241,TECH,Online,Online,3,1477.42,0,4432.26,FALSE
TXN-671015,1/20/2024,16:14:41,HOME-3441,HOME,Online,Online,2,158.06,0.2,252.9,TRUE
TXN-671015,1/20/2024,16:14:41,HOME-2169,HOME,Online,Online,5,75.63,0,378.15,FALSE
TXN-671015,1/20/2024,16:14:41,HOME-6039,HOME,Online,Online,2,286.82,0.1,516.28,TRUE
TXN-560485,1/25/2024,18:07:29,TECH-7594,TECH,Store,Store 3,2,1345.84,0.3,1884.18,TRUE
TXN-560485,1/25/2024,18:07:29,KIDS-8172,KIDS,Store,Store 3,4,104.18,0,416.72,FALSE
TXN-141797,1/13/2024,3:56:27,TECH-6280,TECH,Online,Online,2,490.73,0.05,932.38,TRUE
TXN-141797,1/13/2024,3:56:27,BOOK-2496,BOOK,Online,Online,5,44.17,0,220.85,FALSE
TXN-141797,1/13/2024,3:56:27,KIDS-1339,KIDS,Online,Online,3,48.7,0.25,109.59,TRUE
TXN-704238,1/7/2024,5:02:48,TECH-3870,TECH,Online,Online,5,1432.34,0,7161.7,FALSE
TXN-704238,1/7/2024,5:02:48,HOME-8245,HOME,Online,Online,3,118.55,0.2,284.52,TRUE
TXN-704238,1/7/2024,5:02:48,BOOK-8141,BOOK,Online,Online,4,38.98,0.1,140.32,TRUE
TXN-704238,1/7/2024,5:02:48,TECH-2494,TECH,Online,Online,1,1082,0,1082,FALSE
TXN-528184,1/27/2024,14:21:20,KIDS-2713,KIDS,Online,Online,5,39.98,0.25,149.9,TRUE
TXN-531641,1/24/2024,17:44:31,KIDS-7561,KIDS,Store,Store 3,2,100.16,0.15,170.28,TRUE
TXN-531641,1/24/2024,17:44:31,BOOK-8451,BOOK,Store,Store 3,1,34.29,0,34.29,FALSE
TXN-531641,1/24/2024,17:44:31,BOOK-5135,BOOK,Store,Store 3,1,16.43,0,16.43,FALSE
TXN-531641,1/24/2024,17:44:31,BOOK-7622,BOOK,Store,Store 3,2,41.9,0.15,71.22,TRUE
TXN-531641,1/24/2024,17:44:31,BOOK-9889,BOOK,Store,Store 3,5,12.9,0,64.5,FALSE
TXN-156837,1/15/2024,17:12:33,HOME-9167,HOME,Store,Store 3,4,244.96,0.05,930.84,TRUE
